#x-axis	2
#second	Volt
+115.000E-03	-183.327E-03
+116.000E-03	-238.000E-03
+117.000E-03	-238.000E-03
+118.000E-03	-238.000E-03
+119.000E-03	-238.000E-03
+120.000E-03	-238.000E-03
+121.000E-03	-238.000E-03
+122.000E-03	-183.327E-03
+123.000E-03	-73.980E-03
+124.000E-03	+90.040E-03
+125.000E-03	+636.774E-03
+126.000E-03	+2.769035E+00
+127.000E-03	+3.749739E+00
+128.000E-03	+1.180090E+00
+129.000E-03	+308.734E-03
+130.000E-03	+31.950E-03
+131.000E-03	-183.327E-03
+132.000E-03	-238.000E-03
+133.000E-03	-183.327E-03
+134.000E-03	-73.980E-03
+135.000E-03	-22.724E-03
+136.000E-03	-132.070E-03
+137.000E-03	-238.000E-03
+138.000E-03	-183.327E-03
+139.000E-03	-19.307E-03
+140.000E-03	+199.387E-03
+141.000E-03	+910.141E-03
+142.000E-03	+3.479789E+00
+143.000E-03	+2.984312E+00
+144.000E-03	+852.050E-03
+145.000E-03	+141.296E-03
+146.000E-03	-128.653E-03
+147.000E-03	-183.327E-03
+148.000E-03	-238.000E-03
+149.000E-03	-238.000E-03
+150.000E-03	-183.327E-03
+151.000E-03	-186.744E-03
+152.000E-03	-238.000E-03
+153.000E-03	-238.000E-03
+154.000E-03	-183.327E-03
+155.000E-03	-22.724E-03
+156.000E-03	+199.387E-03
+157.000E-03	+1.128834E+00
+158.000E-03	+3.917176E+00
+159.000E-03	+2.382904E+00
+160.000E-03	+691.447E-03
+161.000E-03	+141.296E-03
+162.000E-03	-77.397E-03
+163.000E-03	-186.744E-03
+164.000E-03	-186.744E-03
+165.000E-03	-183.327E-03
+166.000E-03	-22.724E-03
+167.000E-03	-128.653E-03
+168.000E-03	-186.744E-03
+169.000E-03	-238.000E-03
+170.000E-03	-132.070E-03
+171.000E-03	+35.367E-03
+172.000E-03	+418.080E-03
+173.000E-03	+1.620894E+00
+174.000E-03	+4.026523E+00
+175.000E-03	+1.781497E+00
+176.000E-03	+418.080E-03
+177.000E-03	+35.367E-03
+178.000E-03	-128.653E-03
+179.000E-03	-238.000E-03
+180.000E-03	-238.000E-03
+181.000E-03	-183.327E-03
+182.000E-03	-128.653E-03
+183.000E-03	-183.327E-03
+184.000E-03	-238.000E-03
+185.000E-03	-238.000E-03
+186.000E-03	-128.653E-03
+187.000E-03	+35.367E-03
+188.000E-03	+418.080E-03
+189.000E-03	+2.003608E+00
+190.000E-03	+3.859085E+00
+191.000E-03	+1.453457E+00
+192.000E-03	+363.407E-03
+193.000E-03	+35.367E-03
+194.000E-03	-183.327E-03
+195.000E-03	-186.744E-03
+196.000E-03	-183.327E-03
+197.000E-03	-77.397E-03
+198.000E-03	-77.397E-03
+199.000E-03	-132.070E-03
+200.000E-03	-238.000E-03
+201.000E-03	-183.327E-03
+202.000E-03	-128.653E-03
+203.000E-03	+90.040E-03
+204.000E-03	+636.774E-03
+205.000E-03	+2.605015E+00
+206.000E-03	+3.367025E+00
+207.000E-03	+1.016070E+00
+208.000E-03	+250.643E-03
+209.000E-03	-22.724E-03
+210.000E-03	-183.327E-03
+211.000E-03	-186.744E-03
+212.000E-03	-183.327E-03
+213.000E-03	-132.070E-03
+214.000E-03	-128.653E-03
+215.000E-03	-183.327E-03
+216.000E-03	-238.000E-03
+217.000E-03	-183.327E-03
+218.000E-03	-73.980E-03
+219.000E-03	+144.714E-03
+220.000E-03	+800.794E-03
+221.000E-03	+3.206422E+00
+222.000E-03	+2.874965E+00
+223.000E-03	+852.050E-03
+224.000E-03	+144.714E-03
+225.000E-03	-73.980E-03
+226.000E-03	-238.000E-03
+227.000E-03	-238.000E-03
+228.000E-03	-132.070E-03
+229.000E-03	-73.980E-03
+230.000E-03	-183.327E-03
+231.000E-03	-183.327E-03
+232.000E-03	-183.327E-03
+233.000E-03	-183.327E-03
+234.000E-03	-19.307E-03
+235.000E-03	+254.060E-03
+236.000E-03	+1.183508E+00
+237.000E-03	+3.753156E+00
+238.000E-03	+2.167628E+00
+239.000E-03	+578.683E-03
+240.000E-03	+90.040E-03
+241.000E-03	-128.653E-03
+242.000E-03	-186.744E-03
+243.000E-03	-238.000E-03
