#x-axis,1,2
#second,Volt,Volt
#+543.20000E-03,,
+547.60000E-03,-755.77889E-03,+402.01005E-03
+547.62500E-03,-787.93969E-03,+381.90954E-03
+547.65000E-03,-812.06029E-03,+402.01005E-03
+547.67500E-03,-828.14069E-03,+402.01005E-03
+547.70000E-03,-836.18090E-03,+381.90954E-03
+547.72500E-03,-836.18090E-03,+391.95979E-03
+547.75000E-03,-812.06029E-03,+400.75376E-03
+547.77500E-03,-795.97989E-03,+402.01005E-03
+547.80000E-03,-763.81909E-03,+402.01005E-03
+547.82500E-03,-719.09547E-03,+402.01005E-03
+547.85000E-03,-674.87436E-03,+402.01005E-03
+547.87500E-03,-611.05527E-03,+391.95979E-03
+547.90000E-03,-546.23115E-03,+381.90954E-03
+547.92500E-03,-474.37185E-03,+403.26633E-03
+547.95000E-03,-393.96985E-03,+420.85427E-03
+547.97500E-03,-321.60804E-03,+391.95979E-03
+548.00000E-03,-225.12563E-03,+420.85427E-03
+548.02500E-03,-140.20100E-03,+381.90954E-03
+548.05000E-03,-63.31658E-03,+402.01005E-03
+548.07500E-03,+20.10050E-03,+402.01005E-03
+548.10000E-03,+112.56281E-03,+400.75376E-03
+548.12500E-03,+201.00502E-03,+381.90954E-03
+548.15000E-03,+273.36683E-03,+402.01005E-03
+548.17500E-03,+357.78894E-03,+402.01005E-03
+548.20000E-03,+418.09045E-03,+400.75376E-03
+548.22500E-03,+486.43216E-03,+399.49748E-03
+548.25000E-03,+539.19597E-03,+383.16583E-03
+548.27500E-03,+595.47738E-03,+381.90954E-03
+548.30000E-03,+635.17587E-03,+381.90954E-03
+548.32500E-03,+667.33668E-03,+391.95979E-03
+548.35000E-03,+690.95477E-03,+420.85427E-03
+548.37500E-03,+707.53768E-03,+403.26633E-03
+548.40000E-03,+707.53768E-03,+402.01005E-03
+548.42500E-03,+707.53768E-03,+390.70351E-03
+548.45000E-03,+691.45728E-03,+381.90954E-03
+548.47500E-03,+675.37688E-03,+402.01005E-03
+548.50000E-03,+643.21607E-03,+402.01005E-03
+548.52500E-03,+611.55778E-03,+402.01005E-03
+548.55000E-03,+570.85427E-03,+400.75376E-03
+548.57500E-03,+514.57286E-03,+390.70351E-03
+548.60000E-03,+458.29145E-03,+402.01005E-03
+548.62500E-03,+405.52763E-03,+402.01005E-03
+548.65000E-03,+329.64824E-03,+402.01005E-03
+548.67500E-03,+265.32663E-03,+402.01005E-03
+548.70000E-03,+184.92462E-03,+381.90954E-03
+548.72500E-03,+116.08040E-03,+403.26633E-03
+548.75000E-03,+40.20100E-03,+402.01005E-03
+548.77500E-03,-32.16080E-03,+402.01005E-03
+548.80000E-03,-105.02512E-03,+400.75376E-03
+548.82500E-03,-180.90452E-03,+391.95979E-03
+548.85000E-03,-241.70854E-03,+402.01005E-03
+548.87500E-03,-309.54774E-03,+391.95979E-03
+548.90000E-03,-377.88944E-03,+402.01005E-03
+548.92500E-03,-426.63316E-03,+402.01005E-03
+548.95000E-03,-481.90954E-03,+402.01005E-03
+548.97500E-03,-518.59296E-03,+391.95979E-03
+549.00000E-03,-554.77386E-03,+402.01005E-03
+549.02500E-03,-582.91457E-03,+390.70351E-03
+549.05000E-03,-603.01507E-03,+381.90954E-03
+549.07500E-03,-619.09547E-03,+402.01005E-03
+549.10000E-03,-619.09547E-03,+420.85427E-03
+549.12500E-03,-619.09547E-03,+402.01005E-03
+549.15000E-03,-611.05527E-03,+381.90954E-03
+549.17500E-03,-594.97487E-03,+402.01005E-03
+549.20000E-03,-570.35175E-03,+400.75376E-03
+549.22500E-03,-534.17085E-03,+390.70351E-03
+549.25000E-03,-498.49246E-03,+402.01005E-03
+549.27500E-03,-453.76884E-03,+390.70351E-03
+549.30000E-03,-402.01005E-03,+402.01005E-03
+549.32500E-03,-353.76884E-03,+390.70351E-03
+549.35000E-03,-296.48241E-03,+400.75376E-03
+549.37500E-03,-236.68341E-03,+402.01005E-03
+549.40000E-03,-168.84422E-03,+400.75376E-03
+549.42500E-03,-108.04020E-03,+390.70351E-03
+549.45000E-03,-47.73869E-03,+381.90954E-03
+549.47500E-03,+11.55779E-03,+381.90954E-03
+549.50000E-03,+80.40201E-03,+402.01005E-03
+549.52500E-03,+140.70352E-03,+390.70351E-03
+549.55000E-03,+201.00502E-03,+381.90954E-03
+549.57500E-03,+257.28643E-03,+391.95979E-03
+549.60000E-03,+313.06532E-03,+381.90954E-03
+549.62500E-03,+357.78894E-03,+391.95979E-03
+549.65000E-03,+402.01005E-03,+420.85427E-03
+549.67500E-03,+434.17085E-03,+391.95979E-03
+549.70000E-03,+458.29145E-03,+402.01005E-03
+549.72500E-03,+494.47236E-03,+402.01005E-03
+549.75000E-03,+506.53266E-03,+381.90954E-03
+549.77500E-03,+522.61306E-03,+402.01005E-03
+549.80000E-03,+522.61306E-03,+381.90954E-03
+549.82500E-03,+522.61306E-03,+390.70351E-03
+549.85000E-03,+506.53266E-03,+402.01005E-03
+549.87500E-03,+493.96984E-03,+402.01005E-03
+549.90000E-03,+474.37185E-03,+400.75376E-03
+549.92500E-03,+446.23115E-03,+402.01005E-03
+549.95000E-03,+418.09045E-03,+402.01005E-03
+549.97500E-03,+381.40703E-03,+402.01005E-03
+550.00000E-03,+345.22613E-03,+381.90954E-03
+550.02500E-03,+289.44723E-03,+412.06030E-03
+550.05000E-03,+248.74372E-03,+402.01005E-03
+550.07500E-03,+192.96482E-03,+410.80402E-03
+550.10000E-03,+136.18090E-03,+402.01005E-03
+550.12500E-03,+83.91960E-03,+402.01005E-03
+550.15000E-03,+24.12060E-03,+402.01005E-03
+550.17500E-03,-28.14070E-03,+390.70351E-03
+550.20000E-03,-80.40201E-03,+402.01005E-03
+550.22500E-03,-136.68342E-03,+391.95979E-03
+550.25000E-03,-176.88442E-03,+402.01005E-03
+550.27500E-03,-229.14573E-03,+402.01005E-03
+550.30000E-03,-273.36683E-03,+400.75376E-03
+550.32500E-03,-313.56784E-03,+402.01005E-03
+550.35000E-03,-346.23115E-03,+402.01005E-03
+550.37500E-03,-385.92964E-03,+390.70351E-03
+550.40000E-03,-410.05025E-03,+381.90954E-03
+550.42500E-03,-430.15075E-03,+391.95979E-03
+550.45000E-03,-442.21105E-03,+402.01005E-03
+550.47500E-03,-450.25125E-03,+390.70351E-03
+550.50000E-03,-458.29145E-03,+402.01005E-03
+550.52500E-03,-450.25125E-03,+391.95979E-03
+550.55000E-03,-450.25125E-03,+402.01005E-03
+550.57500E-03,-438.19095E-03,+390.70351E-03
+550.60000E-03,-425.62814E-03,+402.01005E-03
+550.62500E-03,-397.48743E-03,+402.01005E-03
+550.65000E-03,-369.84924E-03,+402.01005E-03
+550.67500E-03,-337.68844E-03,+391.95979E-03
+550.70000E-03,-305.02512E-03,+422.11055E-03
+550.72500E-03,-257.28643E-03,+390.70351E-03
+550.75000E-03,-224.62311E-03,+402.01005E-03
+550.77500E-03,-176.88442E-03,+402.01005E-03
+550.80000E-03,-128.64321E-03,+381.90954E-03
+550.82500E-03,-75.87940E-03,+412.06030E-03
+550.85000E-03,-32.16080E-03,+381.90954E-03
